combined,true_label,predicted_label,confidence,uncertain_flag
"are private unions cooling toward democrats? [SEP] president obama has long been a friend of organized labor, wholeheartedly supported by unions that helped boost him to victory in both his presidential campaigns.but increasingly, there now is a divide between unions in the public and private sector when it comes to supporting him. according to james sherk, a labor policy analyst with the heritage foundation, government employee unions want bigger and more expensive government, in contrast to private sector unions. sherk added those private groups are pushing back and speaking out more publicly about things like the keystone xl pipeline, which they believe will benefit their members. that has put them on a collision course with obama, who last summer proclaimed, we should do everything we can to strengthen unions in this country. the president's insistence on vetoing this pipeline is directly taking away income from these union members, and they, understandably, don't like it, sherk said. congress has passed a measure to expedite the keystone project, although obama has vowed to veto it. just days ago, sean mcgarvey, president of north america's building trades unions, made a direct appeal. we urge the president of the united states to put our men and women back to work across the length of this pipeline as soon as possible, mcgarvey said, adding, we urge the president to sign the bill. union leaders also have a long standing beef with the administration over the affordable care act's enormous tax on so called cadillac health insurance plans.the plans offer high dollar benefits and are used as a recruiting tool. although the tax doesn't kick in for several more years, as far back as 2013 union leaders were making public pleas to democratic lawmakers. in a letter written in july of that year, union officials, including james hoffa, president of the international brotherhood of teamsters, urged congressional democrats to drop the tax saying, we voted for you.we have a",FAKE,REAL,0.999956,False
"juror in oregon militia trial dismissed for bias judge [SEP] reuters a juror in the trial of seven militia members charged with seizing a u.s. wildlife refuge in oregon at gunpoint earlier this year was dismissed for bias, a federal judge said on wednesday. prosecutors and defense attorneys in the case agreed to the dismissal of the juror, who formerly worked for the federal bureau of land management, after u.s. district judge anna brown said the juror would be questioned more closely about comments he may have made about his bias. it s a new jury, a new day, a new start, brown said. brown said deliberations by the jury would start over. an alternate will step in for the dismissed juror. the attorney for ammon bundy, the leader of those charged, asked the court in a motion on wednesday morning to dismiss the juror in question and order the jury to begin deliberations again or declare a mistrial. the jury s integrity came under scrutiny on tuesday when it sent the judge a letter saying one juror admitted being very biased as deliberations began last week. can a juror, a former employee of the bureau of land management, who opens their remarks in deliberations by stating i am very biased be considered an impartial judge in this case? the letter stated, according to the motion by bundy s lawyer, marcus mumford. while it was unclear whether the supposed bias of the juror, identified as juror no. 11, was for or against the government, mumford had said further questioning of the person was needed. brown interviewed the juror in private on tuesday and said she found no basis for determining he was biased. prosecutors had previously opposed additional interrogation of the jury.",REAL,FAKE,0.999928,False
"general is most senior army officer to kill self [SEP] usa today washington the army acknowledged friday that maj. gen. john rossi committed suicide on july 31, making him the highest ranking soldier ever to have taken his own life. rossi, who was 55, was just two days from pinning on his third star and taking command of army space and missile command when he killed himself at his home at redstone arsenal in alabama. investigators could find no event, infidelity, misconduct or drug or alcohol abuse, that triggered rossi s suicide, said a u.s. government official with direct knowledge of the investigation. it appears that rossi was overwhelmed by his responsibilities, said the official who was not authorized to speak publicly about the investigation. rossi himself talked in march about suicide at a conference on preventing troops from killing themselves. he held up a card from his wallet with photos of 10 soldiers who had died under his command at fort sill, okla. four of them had committed suicide. rossi led off the event by reading the reports of recent suicide attempts to the soldiers at the event, according to a news story on the army s web site. he told the conference that he received reports of four soldiers per week thinking about or attempting suicide. we are ultimately responsible for soldiers both on and off duty, rossi said. in a separate statement on friday, rossi s family asked for privacy and called on soldiers with emotional problems to seek help. to all the other families out there, to the man or woman who may be facing challenging times, please seek assistance immediately, according to a statement released on the family s behalf by the army. the army, the armed forces and its veterans have struggled with the scourge of suicide since the 9 11 terror attacks and the wars that followed in afghanistan and iraq. about 20 veterans a day kill themselves, according to the department of veterans affairs, putting them at 21 higher risk of suicide compared with",REAL,FAKE,0.999908,False
"steve bannon named senior counselor signals nationalist white house [SEP] president elect donald trump has named steve bannon as his senior counselor and chief strategist. reince priebus will be the white house chief of staff. the uproar came when the press release announced that the two would be equal partners in the white house, thus making bannon one of the most powerful people in the executive mansion. it has been stated that the most effective way to influence the white house is to be named the president s most important advisor. bannon s place in the trump administration is of significance in american politics. it is also one of controversy. the president elect s choice for his top aide was criticized by the naacp, the anti defamation league, and multiple democratic leaders. harry reid stated, president elect trump s choice of steve bannon as his top aide signals that white supremacists will be represented at the highest levels in trump s white house. john weaver, a republican consultant to governor john kasich, sent a tweet stating a racist, anti semite was named an equal to trump s chief of staff and warned the nation to stay vigilant. bannon was a significant part of the creation and growth of the nationalist right, or alt right movement, which welcomes those who are openly anti semites and racist. the washington post printed a similar comment when he became chairman of the trump campaign, stating it was the latest sign for white nationalists, once dismissed as fringe, that their worldview was gaining popularity and that the old republican party was coming to an end. the bannon climb to the white house a former spokesman for breitbart news, kurt bardella, told the new yorker that bannon attempts to ride the coattails of anyone who could grant him political power. he supported sarah palin, then the tea party, on to ted cruz, jumped to ben carson, and so on. from 2008 to 2016, he studied sarah palin and political figures that held a right wing status. he even",REAL,FAKE,0.999907,False
"why i'm more worried about marco rubio than donald trump [SEP] update on march 13, 2016 i realized i was wrong about this. when not delighting in the epic meltdown of establishment republican party politics, many people i know my wife, my boss, etc. are expressing terror at the notion that donald trump might actually become president of the united states. i'm more sanguine. not out of any particular love for trump, but because he's actually running on a much less extreme agenda than his establishment rival marco rubio, who's offering a platform of economic ruin, multiple wars, and an attack on civil liberties that's nearly as vicious as anything trump has proposed even while wrapping it in an edgy, anxious, overreaction prone approach to politics that heavily features big risky bets and huge, unpredictable changes in direction. rubio has proposed a tax cut that will reduce federal revenue by 6.8 trillion over 10 years. numbers that large don't mean anything to people, so for comparison's sake let's say that if we entirely eliminated american military spending over that period we still couldn't quite pay for it. but of course rubio doesn't want to eliminate military spending he wants to spend more. he also promises to avoid any cuts to social security and medicare for people currently at or near retirement. for good measure, he is also proposing a balanced budget amendment to the constitution. you could eliminate the entire non defense discretionary budget and you'd still need 100 billion to 200 billion more per year in cuts to make this work. this is, of course, totally unworkable. and the process that led rubio to this point is telling and troubling. rubio entered the senate at a time when an intellectual movement known as reform was hot in conservative circles, which argued that republicans should concentrate less on supply side tax cuts and more on tax policy focused on the working class. this originally took the form of a 2.4 trillion tax cut plan crafted by uta",FAKE,REAL,0.999895,False
"bernie sanders won't rule out running in 2020 [SEP] on thursday, socialist septuagenarian bernie sanders, 75, said he wouldn t necessarily rule out running for president in 2020, when he will be nearly 80.",REAL,FAKE,0.999867,False
"estimated enrollees for 2015 health care decrease [SEP] about 9.9 million people will sign up to have coverage through the affordable care act s insurance exchanges in 2015, millions fewer than outside experts predicted. louise radnofsky reports. photo healthcare.gov. washington the obama administration said monday it expects up to 9.9 million people to have private coverage through the affordable care act s insurance exchanges in 2015, millions fewer than outside experts had predicted. the exchanges, which reopen saturday for the law s second year of health insurance enrollment, previously were expected to enroll 13 million people in private coverage for 2015, according to an april 2014...",FAKE,REAL,0.999838,False
"bank records show 28,500 deposit to syed farook's account two weeks before the shooting, source says [SEP] exclusive a 28,500 deposit was made to syed farook s bank account from webbank.com on or about nov.18, some two weeks before he and his wife tashfeen malik carried out the san bernardino massacre, a source close to the investigation told fox news monday. investigators are exploring whether the transaction was a loan taken out by farook, who with his wife killed 14 and wounded 21 when they opened fire at a holiday lunch. he earned 53,000 a year with the county as an environmental health inspector. investigators are also exploring the possibility that a subsequent cash withdrawal was used to reimburse enrique marquez, the man who bought the two ar 15 semiautomatic rifles used in the san bernardino shootings. marquez, who could be charged, especially if it is determined that he illegally modified the weapons, is now reportedly answering investigators questions. right now our major concern at the fbi, the atf, and the jttf joint terrorism task force is determining how those firearms, the rifles in particular, got from marquez to farook and to malik, assistant special agent in charge with the bureau of alcohol, tobacco and firearms, john d angelo, told reporters in california monday. the deposit came via utah based webbank.com, which describes itself as a leading provider of national consumer and commercial private label and bank card financing programs on a nationwide basis. on or about nov.20, fox news is told farook converted 10,000 to cash, and withdrew the money at a union bank branch in san bernardino. afterwards, in the days before the shooting, there were at least three transfers of 5,000 that appear to be to farook s mother. the loan and large cash withdrawal were described to fox news by the source as significant evidence of pre meditation, and further undercut the premise that an argument at the christmas party on dec. 2 led to the shooting. fox news is a",FAKE,REAL,0.999814,False
"aussie woman elly warren raped and murdered in dangerous mozambique [SEP] elly warren, from melbourne, was travelling africa before she tragically died on wednesday. a 20 year old woman who was travelling in africa was last seen dropping off her bag at a beachside hostel before being found dead in a toilet cubicle. elly warren, from melbourne, was expected to return to australia on monday before heading to new zealand with her boyfriend for a holiday. days before she set off for africa, the 20 year old told her father it s dangerous dad, i don t know if i should be going over there. and things took a turn for the worst after she was raped and attacked when she reportedly walked home alone from a party in mozambique on wednesday. the young traveller had booked two nights at the beachfront wuyani pariango backpackers in the picturesque tofo bay but she failed to return to her room. speaking to daily mail australia, the hostel manager, who wished to remain anonymous, said staff members had seen the woman before she went missing. she came in alone to drop off her bag and then left to meet a friend, the hostel manager revealed. she had pre booked her accommodation but never stayed here. the 20 year old had been holidaying and doing a volunteer stint in mozambique. the young woman had booked two nights at the wuyani pariango backpackers in tofo bay. daily mail australia understands ms warren s body is currently being transported from tofo beach to the country s capital maputo, some 500 kilometres away where a post mortem will be performed. paul warren, the distraught father of the avid traveller, is currently travelling to mozambique in an effort to bring his daughter s body home. on thursday he revealed his heartbreak over his daughter s terrible death. a tearful mr warren told 7news she even told me, it s dangerous dad, i don t know if i should be going over there . and i said to her yes it is, very dangerous . on thursday evening, hours after paying a moving facebook t",REAL,FAKE,0.9998,False
"bruce springsteen i was a stone cold draft dodger [SEP] april 30 upi bruce springsteen says writing and performing born in the u. s. a. helped him reconcile the mixed feelings he has about decisions he made during the vietnam war era. i had some friends, very close friends of mine guys who came home in wheelchairs and, then, i didn t go. i was a draft dodger, the new jersey rocker said at a tribeca film festival conversation with tom hanks at the beacon theatre in new york friday. i pulled the whole alice s restaurant. i m sorry, sir. i don t understand what you are saying because i am high on lsd. i did everything in the s text book, springsteen recalled. so, perhaps, i felt guilty about that later on. i had friends who went. i had friends who went and died. i had friends later on who were seriously hurt. and whether it was that or whether it was just the fact it was an event that defined a generation and if you were going to write about the world, if you were going to write about who we are at this this particular moment, if you were going to write about your place, if you were going to try to seize your little moment in history, which were all things i wanted to deliver to my audience, it was something that needed to be reckoned with. and, so, it was something that i felt i had to come to terms with myself and i needed to sing about.",FAKE,REAL,0.999768,False
